Factura;Fecha;ID_Canal;Cliente;Tipo_Cliente;ID_Vehiculo;Costo_Vehiculo;Precio_Venta;ID_SEDE;ID_Vendedor
1;02/01/2022 0:00;1;789;Persona;137;17000;21500;1;4
2;02/01/2022 0:00;1;576;Persona;59;18100;22800;2;8
3;02/01/2022 0:00;1;623;Persona;21;18000;20100;2;8
4;02/01/2022 0:00;1;782;Persona;61;17600;20000;2;8
5;02/01/2022 0:00;1;331;Persona;111;17500;22000;2;8
6;02/01/2022 0:00;2;440;Persona;37;17600;19800;3;6
7;02/01/2022 0:00;2;910;Persona;32;17800;21800;3;6
8;02/01/2022 0:00;2;743;Persona;156;17200;21100;3;6
9;02/01/2022 0:00;2;174;Persona;45;17500;20800;3;6
10;02/01/2022 0:00;2;824;Empresa;97;17500;22700;1;4
11;02/01/2022 0:00;2;935;Empresa;170;17400;19700;1;4
12;02/01/2022 0:00;2;1073;Empresa;96;17200;19000;1;4
13;03/01/2022 0:00;2;497;Empresa;176;17600;22800;1;4
14;03/01/2022 0:00;1;917;Empresa;47;17300;19900;1;9
15;03/01/2022 0:00;1;279;Empresa;41;17600;20500;1;9
16;03/01/2022 0:00;1;854;Empresa;109;17700;21500;1;9
17;03/01/2022 0:00;1;252;Empresa;172;17700;21100;1;9
18;03/01/2022 0:00;1;248;Persona;176;17600;22400;2;11
19;03/01/2022 0:00;1;10;Persona;9;17100;20800;2;11
20;03/01/2022 0:00;1;688;Persona;74;18100;19800;2;11
21;03/01/2022 0:00;1;702;Persona;31;16500;19900;2;11
22;03/01/2022 0:00;1;198;Empresa;169;18000;21400;3;6
23;03/01/2022 0:00;1;620;Empresa;147;17300;21900;3;6
24;03/01/2022 0:00;1;153;Empresa;143;17700;20300;3;6
25;03/01/2022 0:00;1;68;Empresa;35;18000;21600;3;6
26;03/01/2022 0:00;2;27;Empresa;89;17200;19500;1;4
27;03/01/2022 0:00;2;641;Empresa;97;17500;20400;1;4
28;03/01/2022 0:00;2;743;Empresa;5;17200;20100;1;4
29;03/01/2022 0:00;3;967;Persona;144;17200;22200;4;10
30;03/01/2022 0:00;3;453;Persona;73;17100;20300;4;10
31;03/01/2022 0:00;3;942;Persona;157;18100;22900;4;10
32;03/01/2022 0:00;3;1001;Persona;143;17700;22800;4;10
33;03/01/2022 0:00;4;1033;Persona;32;17800;22500;2;11
34;03/01/2022 0:00;4;403;Persona;17;18100;20700;2;11
35;03/01/2022 0:00;4;223;Persona;178;17400;21900;2;11
