ID_Vehiculo;Marca_Vehiculo;Modelo_Vehiculo;Tipo_Vehiculo;Año_Vehiculo
1;HONDA;ACCORD;AUTO;2021
2;HONDA;CIVIC;AUTO;2021
3;HONDA;ODISSEY;AUTO;2020
4;HONDA;CRV;AUTO;2021
5;HONDA;PILOT;AUTO;2020
6;HONDA;FIT;AUTO;2023
7;HONDA;CITY;AUTO;2023
8;HONDA;ELEMENT;CAMIONETA;2020
9;HONDA;CROSSTOUR;CAMIONETA;2020
10;HONDA;CR-Z;CAMIONETA;2022
11;HONDA;RID LINE PICK UP;CAMIONETA;2021
12;HONDA;50-110;CAMIONETA;2019
13;HONDA;111-250;CAMIONETA;2021
14;HONDA;251-650;CAMIONETA;2022
15;HONDA;651-1000;CAMIONETA;2023
16;HONDA;1001-2000;CAMIONETA;2023
17;MAZDA;CX-3;AUTO;2019
18;MAZDA;CX-5;AUTO;2024
19;MAZDA;CX-5;AUTO;2023
20;MAZDA;CX7;AUTO;2023
21;MAZDA;CX9;CAMIONETA;2021
22;MAZDA;MX5;CAMIONETA;2023
23;MAZDA;CX-5;CAMIONETA;2024
24;MAZDA;CX-5;CAMIONETA;2024
25;MAZDA;PICK UP;CAMIONETA;2021
26;MAZDA;CX9;CAMIONETA;2024
27;MAZDA;MX5;CAMIONETA;2024
28;MAZDA;CX-5;CAMIONETA;2022
29;MAZDA;PICK UP;AUTO;2023
30;HONDA;CRV;AUTO;2024
31;HONDA;PILOT;AUTO;2019
32;HONDA;FIT;AUTO;2021
33;HONDA;CITY;AUTO;2020
34;HONDA;ELEMENT;AUTO;2023
35;HONDA;CROSSTOUR;AUTO;2021
36;HONDA;CR-Z;AUTO;2022
37;HONDA;RID LINE PICK UP;AUTO;2023
38;HONDA;111-250;CAMIONETA;2024
39;HONDA;251-650;CAMIONETA;2021
40;HONDA;651-1000;CAMIONETA;2022
41;HONDA;1001-2000;CAMIONETA;2020
42;TOYOTA;CAMRY;AUTO;2019
43;TOYOTA;COROLLA;AUTO;2020
44;TOYOTA;MATRIX;AUTO;2024
45;TOYOTA;4 RUNNER;AUTO;2023
46;TOYOTA;LAND CRUISER;AUTO;2021
47;TOYOTA;RAV4;CAMIONETA;2022
48;TOYOTA;SIENNA;CAMIONETA;2022
49;TOYOTA;YARIS;CAMIONETA;2023
50;TOYOTA;MR2;CAMIONETA;2022
51;TOYOTA;HIACE;CAMIONETA;2021
52;TOYOTA;SOLARA;AUTO;2023
53;TOYOTA;FJ CRUISER;AUTO;2024
54;TOYOTA;AVANZA;AUTO;2019
55;TOYOTA;HIGHLANDER;AUTO;2020
56;TOYOTA;SEQUOIA;AUTO;2021
57;TOYOTA;RUSH;AUTO;2023
58;TOYOTA;PRIUS;AUTO;2023
59;TOYOTA;AVENSIS;CAMIONETA;2020
60;TOYOTA;TACOMA PICK UP;AUTO;2024
61;TOYOTA;HILUX PICK UP;AUTO;2019
62;TOYOTA;TUNDRA PICK UP;AUTO;2023
63;TOYOTA;HIACE PANEL;AUTO;2019
64;TOYOTA;CAMRY;AUTO;2021
65;TOYOTA;COROLLA;CAMIONETA;2023
66;TOYOTA;MATRIX;CAMIONETA;2019
67;TOYOTA;4 RUNNER;CAMIONETA;2024
68;TOYOTA;LAND CRUISER;CAMIONETA;2020
69;TOYOTA;SIENNA;AUTO;2019
70;TOYOTA;YARIS;AUTO;2019
71;TOYOTA;MR2;AUTO;2021
72;VOLVO;S40;AUTO;2020
73;VOLVO;C70;AUTO;2023
74;VOLVO;C30;AUTOBUS;2022
75;VOLVO;XC60;AUTOBUS;2023
76;VOLVO;S60;CAMION;2022
77;VOLVO;S70;CAMION;2019
78;VOLVO;S80;CAMION;2024
79;VOLVO;V40;CAMION;2024
80;VOLVO;V50;CAMION;2020
81;VOLVO;V70;CAMION;2022
82;VOLVO;XC70;CAMION;2019
83;VOLVO;XC90;CAMION;2020
84;VOLVO;V60;CAMION;2023
85;VOLVO;S40;CAMION;2022
86;VOLVO;C70;CAMION;2024
87;VOLVO;C30;CAMION;2019
88;VOLVO;XC60;CAMION;2022
89;VOLVO;S70;CAMION;2020
90;VOLVO;S80;CAMION;2022
91;VOLVO;V40;CAMION;2020
92;VOLVO;V50;CAMION;2022
93;VOLVO;V70;CAMION;2024
94;VOLVO;XC70;CAMION;2021
95;VOLVO;XC90;CAMION;2024
96;VOLVO;V60;CAMION;2024
97;SUZUKI;AERIO;AUTO;2019
98;SUZUKI;GRAND VITARA;CAMIONETA;2022
99;SUZUKI;SWIFT;CAMIONETA;2022
100;SUZUKI;XL7;CAMIONETA;2020
101;SUZUKI;SX4;CAMIONETA;2024
102;SUZUKI;KIZASHI;CAMIONETA;2024
103;SUZUKI;50-110;AUTO;2019
104;SUZUKI;111-250;AUTO;2019
105;SUZUKI;251-650;AUTO;2023
106;SUZUKI;651-1000;AUTO;2024
107;SUZUKI;1000-2000;AUTO;2021
108;SUZUKI;GRAND VITARA;AUTO;2019
109;SUZUKI;SWIFT;CAMIONETA;2023
110;SUZUKI;XL7;AUTO;2023
111;SUZUKI;SX4;AUTO;2019
112;SUZUKI;KIZASHI;AUTO;2023
113;SUZUKI;50-110;AUTO;2020
114;SUZUKI;111-250;AUTO;2022
115;SUZUKI;251-650;CAMIONETA;2019
116;SUZUKI;651-1000;AUTO;2022
117;SUZUKI;1000-2000;AUTO;2022
118;SUZUKI;651-1000;AUTO;2023
119;SUZUKI;1000-2000;AUTO;2020
120;SUZUKI;AERIO;AUTO;2023
121;SUZUKI;GRAND VITARA;AUTO;2022
122;SUZUKI;SWIFT;AUTO;2019
123;SUZUKI;XL7;AUTO;2019
124;SUZUKI;SX4;AUTO;2020
125;SUZUKI;KIZASHI;AUTO;2024
126;SUZUKI;251-650;AUTO;2020
127;SUZUKI;XL7;AUTO;2020
128;SUZUKI;651-1000;AUTO;2020
129;SUZUKI;SWIFT;AUTO;2021
130;SUZUKI;XL7;AUTO;2022
131;SUZUKI;KIZASHI;AUTO;2022
132;SUZUKI;50-110;AUTO;2024
133;SUZUKI;111-250;AUTO;2021
134;SUZUKI;251-650;AUTO;2019
135;SUZUKI;1000-2000;AUTO;2023
136;SUZUKI;AERIO;AUTO;2020
137;SUZUKI;XL7;AUTO;2021
138;SUZUKI;SX4;AUTO;2021
139;TOYOTA;RAV4;CAMIONETA;2019
140;TOYOTA;SIENNA;CAMIONETA;2024
141;TOYOTA;YARIS;CAMIONETA;2022
142;TOYOTA;MR2;CAMIONETA;2019
143;TOYOTA;HIACE;CAMIONETA;2023
144;TOYOTA;SOLARA;AUTO;2024
145;TOYOTA;FJ CRUISER;AUTO;2019
146;TOYOTA;AVANZA;AUTO;2021
147;TOYOTA;HIGHLANDER;AUTO;2022
148;TOYOTA;SEQUOIA;AUTO;2019
149;TOYOTA;RUSH;AUTO;2024
150;TOYOTA;PRIUS;AUTO;2020
151;TOYOTA;AVENSIS;CAMIONETA;2022
152;TOYOTA;TACOMA PICK UP;AUTO;2023
153;TOYOTA;TUNDRA PICK UP;AUTO;2024
154;TOYOTA;HIACE PANEL;AUTO;2021
155;TOYOTA;CAMRY;AUTO;2023
156;TOYOTA;COROLLA;CAMIONETA;2024
157;TOYOTA;MATRIX;CAMIONETA;2020
158;TOYOTA;4 RUNNER;CAMIONETA;2019
159;TOYOTA;SIENNA;AUTO;2020
160;TOYOTA;YARIS;AUTO;2020
161;TOYOTA;YARIS;AUTO;2024
162;HYUNDAI;ELANTRA;AUTO;2024
163;HYUNDAI;ELANTRA;AUTO;2019
164;HYUNDAI;ELANTRA;AUTO;2021
165;HYUNDAI;ELANTRA;AUTO;2023
166;HYUNDAI;ELANTRA;AUTO;2022
