Periodo;Mes;ID_SEDE;Presupuesto
2022;Enero;1;2978000
2022;Enero;2;2565000
2022;Enero;3;990000
2022;Enero;4;9391000
2022;Febrero;1;2106000
2022;Febrero;2;2032000
2022;Febrero;3;892000
2022;Febrero;4;7707000
2022;Marzo;1;2609000
2022;Marzo;2;2114000
2022;Marzo;3;911000
2022;Marzo;4;7141000
2022;Abril;1;1862000
2022;Abril;2;2536000
2022;Abril;3;1599000
2022;Abril;4;6125000
2022;Mayo;1;2854000
2022;Mayo;2;2192000
2022;Mayo;3;1425000
2022;Mayo;4;8584000
2022;Junio;1;2118000
2022;Junio;2;2183000
2022;Junio;3;1154000
2022;Junio;4;8032000
2022;Julio;1;2050000
2022;Julio;2;2390000
2022;Julio;3;1055000
2022;Julio;4;10075000
2022;Agosto;1;1925000
2022;Agosto;2;2163000
2022;Agosto;3;1330000
2022;Agosto;4;9965000
2022;Septiembre;1;2727000
2022;Septiembre;2;2790000
2022;Septiembre;3;1535000
2022;Septiembre;4;6900000
2022;Octubre;1;3644000
2022;Octubre;2;2473000
2022;Octubre;3;714000
2022;Octubre;4;8258000
2022;Noviembre;1;2382000
2022;Noviembre;2;2259000
2022;Noviembre;3;1153000
2022;Noviembre;4;7998000
2022;Diciembre;1;2177000
2022;Diciembre;2;1532000
2022;Diciembre;3;1952000
2022;Diciembre;4;7408000
2023;Enero;1;2095000
2023;Enero;2;2634000
2023;Enero;3;1479000
2023;Enero;4;9340000
2023;Febrero;1;2298000
2023;Febrero;2;2048000
2023;Febrero;3;1485000
2023;Febrero;4;8240000
2023;Marzo;1;2050000
2023;Marzo;2;2881000
2023;Marzo;3;963000
2023;Marzo;4;8136000
2023;Abril;1;1284000
2023;Abril;2;2748000
2023;Abril;3;994000
2023;Abril;4;9179000
2023;Mayo;1;2581000
2023;Mayo;2;1844000
2023;Mayo;3;900000
2023;Mayo;4;8511000
2023;Junio;1;1755000
2023;Junio;2;2534000
2023;Junio;3;1078000
2023;Junio;4;8258000
2023;Julio;1;1493000
2023;Julio;2;2700000
2023;Julio;3;1732000
2023;Julio;4;9724000
2023;Agosto;1;2371000
2023;Agosto;2;2345000
2023;Agosto;3;907000
2023;Agosto;4;6373000
2023;Septiembre;1;1312000
2023;Septiembre;2;2115000
2023;Septiembre;3;824000
2023;Septiembre;4;7804000
2023;Octubre;1;2322000
2023;Octubre;2;2673000
2023;Octubre;3;990000
2023;Octubre;4;8479000
2023;Noviembre;1;3101000
2023;Noviembre;2;1822000
2023;Noviembre;3;1009000
2023;Noviembre;4;7015000
2023;Diciembre;1;2875000
2023;Diciembre;2;2565000
2023;Diciembre;3;1007000
2023;Diciembre;4;8918000
2024;Enero;1;3177000
2024;Enero;2;2216000
2024;Enero;3;1126000
2024;Enero;4;8166000
2024;Febrero;1;1055000
2024;Febrero;2;804000
2024;Febrero;3;202000
2024;Febrero;4;2261000
2024;Marzo;2;275000
2024;Marzo;4;486000
2024;Abril;2;287000
2024;Abril;4;467000
2024;Mayo;1;100000
2024;Mayo;2;185000
2024;Mayo;4;521000
2024;Junio;1;282000
2024;Junio;2;201000
2024;Junio;3;148000
2024;Junio;4;124000
2024;Julio;1;170000
2024;Julio;2;154000
2024;Julio;3;73000
2024;Julio;4;100000
